@relation car

@attribute buying {vhigh,high,med,low}
@attribute maint {vhigh,high,med,low}
@attribute doors {2.0,3.0,4.0,5more}
@attribute persons {2.0,4.0,more}
@attribute log_boot {small,med,big}
@attribute safety {low,med,high}
@attribute class {unacc,acc,vgood,good}

@data
vhigh,vhigh,2.0,2.0,small,low,unacc
vhigh,vhigh,2.0,2.0,small,med,unacc
vhigh,vhigh,2.0,2.0,small,high,unacc
vhigh,vhigh,2.0,2.0,med,low,unacc
vhigh,vhigh,2.0,2.0,med,med,unacc
vhigh,vhigh,2.0,2.0,med,high,unacc
vhigh,vhigh,2.0,2.0,big,low,unacc
vhigh,vhigh,2.0,2.0,big,med,unacc
vhigh,vhigh,2.0,2.0,big,high,unacc
vhigh,vhigh,2.0,4.0,small,low,unacc
vhigh,vhigh,2.0,4.0,small,med,unacc
vhigh,vhigh,2.0,4.0,small,high,unacc
vhigh,vhigh,2.0,4.0,med,low,unacc
vhigh,vhigh,2.0,4.0,med,med,unacc
vhigh,vhigh,2.0,4.0,med,high,unacc
vhigh,vhigh,2.0,4.0,big,low,unacc
vhigh,vhigh,2.0,4.0,big,med,unacc
vhigh,vhigh,2.0,4.0,big,high,unacc
vhigh,vhigh,2.0,more,small,low,unacc
vhigh,vhigh,2.0,more,small,med,unacc
vhigh,vhigh,2.0,more,small,high,unacc
vhigh,vhigh,2.0,more,med,low,unacc
vhigh,vhigh,2.0,more,med,med,unacc
vhigh,vhigh,2.0,more,med,high,unacc
vhigh,vhigh,2.0,more,big,low,unacc
vhigh,vhigh,2.0,more,big,med,unacc
vhigh,vhigh,2.0,more,big,high,unacc
vhigh,vhigh,3.0,2.0,small,low,unacc
vhigh,vhigh,3.0,2.0,small,med,unacc
vhigh,vhigh,3.0,2.0,small,high,unacc
vhigh,vhigh,3.0,2.0,med,low,unacc
vhigh,vhigh,3.0,2.0,med,med,unacc
vhigh,vhigh,3.0,2.0,med,high,unacc
vhigh,vhigh,3.0,2.0,big,low,unacc
vhigh,vhigh,3.0,2.0,big,med,unacc
vhigh,vhigh,3.0,2.0,big,high,unacc
vhigh,vhigh,3.0,4.0,small,low,unacc
vhigh,vhigh,3.0,4.0,small,med,unacc
vhigh,vhigh,4.0,4.0,small,med,unacc
vhigh,vhigh,4.0,4.0,small,high,unacc
vhigh,vhigh,4.0,4.0,med,low,unacc
vhigh,vhigh,4.0,4.0,med,med,unacc
vhigh,vhigh,4.0,4.0,med,high,unacc
vhigh,vhigh,4.0,4.0,big,low,unacc
vhigh,vhigh,4.0,4.0,big,med,unacc
vhigh,vhigh,4.0,4.0,big,high,unacc
vhigh,vhigh,4.0,more,small,low,unacc
vhigh,vhigh,4.0,more,small,med,unacc
vhigh,vhigh,4.0,more,small,high,unacc
vhigh,vhigh,4.0,more,med,low,unacc
vhigh,vhigh,4.0,more,med,med,unacc
vhigh,vhigh,4.0,more,med,high,unacc
vhigh,vhigh,4.0,more,big,low,unacc
vhigh,vhigh,4.0,more,big,med,unacc
vhigh,vhigh,4.0,more,big,high,unacc
vhigh,vhigh,5more,2.0,small,low,unacc
vhigh,vhigh,5more,2.0,small,med,unacc
vhigh,vhigh,5more,2.0,small,high,unacc
vhigh,vhigh,5more,2.0,med,low,unacc
vhigh,vhigh,5more,2.0,med,med,unacc
vhigh,vhigh,5more,2.0,med,high,unacc
vhigh,vhigh,5more,2.0,big,low,unacc
vhigh,vhigh,5more,2.0,big,med,unacc
vhigh,vhigh,5more,2.0,big,high,unacc
vhigh,vhigh,5more,4.0,small,low,unacc
vhigh,vhigh,5more,4.0,small,med,unacc
vhigh,vhigh,5more,4.0,small,high,unacc
vhigh,vhigh,5more,4.0,med,low,unacc
vhigh,vhigh,5more,4.0,med,med,unacc
vhigh,vhigh,5more,4.0,med,high,unacc
vhigh,vhigh,5more,4.0,big,low,unacc
vhigh,vhigh,5more,4.0,big,med,unacc
vhigh,vhigh,5more,4.0,big,high,unacc
vhigh,vhigh,5more,more,small,low,unacc
vhigh,vhigh,5more,more,small,med,unacc
vhigh,vhigh,5more,more,small,high,unacc
vhigh,vhigh,5more,more,med,low,unacc
vhigh,vhigh,5more,more,med,med,unacc
vhigh,vhigh,5more,more,med,high,unacc
vhigh,vhigh,5more,more,big,low,unacc
vhigh,vhigh,5more,more,big,med,unacc
vhigh,vhigh,5more,more,big,high,unacc
vhigh,high,2.0,2.0,small,low,unacc
vhigh,high,2.0,2.0,small,med,unacc
vhigh,high,2.0,2.0,small,high,unacc
vhigh,high,2.0,2.0,med,low,unacc
vhigh,high,2.0,2.0,med,med,unacc
vhigh,high,2.0,2.0,med,high,unacc
vhigh,high,2.0,2.0,big,low,unacc
vhigh,high,2.0,2.0,big,med,unacc
vhigh,high,2.0,2.0,big,high,unacc
vhigh,high,2.0,4.0,small,low,unacc
vhigh,high,2.0,4.0,small,med,unacc
vhigh,high,2.0,4.0,small,high,unacc
vhigh,high,2.0,4.0,med,low,unacc
vhigh,high,2.0,4.0,med,med,unacc
vhigh,high,2.0,4.0,med,high,unacc
vhigh,high,2.0,4.0,big,low,unacc
vhigh,high,2.0,4.0,big,med,unacc
vhigh,high,2.0,4.0,big,high,unacc
vhigh,high,2.0,more,small,low,unacc
vhigh,high,2.0,more,small,med,unacc
vhigh,high,2.0,more,small,high,unacc
vhigh,high,2.0,more,med,low,unacc
vhigh,high,2.0,more,med,med,unacc
vhigh,high,2.0,more,med,high,unacc
vhigh,high,2.0,more,big,low,unacc
vhigh,high,2.0,more,big,med,unacc
vhigh,high,2.0,more,big,high,unacc
vhigh,high,3.0,2.0,small,low,unacc
vhigh,high,3.0,2.0,small,med,unacc
vhigh,high,3.0,2.0,small,high,unacc
vhigh,high,3.0,2.0,med,low,unacc
vhigh,high,3.0,2.0,med,med,unacc
vhigh,high,3.0,2.0,med,high,unacc
vhigh,high,3.0,2.0,big,low,unacc
vhigh,high,3.0,2.0,big,med,unacc
vhigh,high,3.0,2.0,big,high,unacc
vhigh,high,3.0,4.0,small,low,unacc
vhigh,high,3.0,4.0,small,med,unacc
vhigh,high,3.0,4.0,small,high,unacc
vhigh,high,3.0,4.0,med,low,unacc
vhigh,high,3.0,4.0,med,med,unacc
vhigh,high,3.0,4.0,med,high,unacc
vhigh,high,3.0,4.0,big,low,unacc
vhigh,high,3.0,4.0,big,med,unacc
vhigh,high,3.0,4.0,big,high,unacc
vhigh,high,3.0,more,small,low,unacc
vhigh,high,3.0,more,small,med,unacc
vhigh,high,3.0,more,small,high,unacc
vhigh,high,3.0,more,med,low,unacc
vhigh,high,3.0,more,med,med,unacc
vhigh,high,3.0,more,med,high,unacc
vhigh,high,3.0,more,big,low,unacc
vhigh,high,3.0,more,big,med,unacc
vhigh,high,3.0,more,big,high,unacc
vhigh,high,4.0,2.0,small,low,unacc
vhigh,high,4.0,2.0,small,med,unacc
vhigh,high,4.0,2.0,small,high,unacc
vhigh,high,4.0,2.0,med,low,unacc
vhigh,high,4.0,2.0,med,med,unacc
vhigh,high,4.0,2.0,med,high,unacc
vhigh,high,4.0,2.0,big,low,unacc
vhigh,high,4.0,2.0,big,med,unacc
vhigh,high,4.0,2.0,big,high,unacc
vhigh,high,4.0,4.0,small,low,unacc
vhigh,high,4.0,4.0,small,med,unacc
vhigh,high,4.0,4.0,small,high,unacc
vhigh,high,4.0,4.0,med,low,unacc
vhigh,high,4.0,4.0,med,med,unacc
vhigh,high,4.0,4.0,med,high,unacc
vhigh,high,4.0,4.0,big,low,unacc
vhigh,high,4.0,4.0,big,med,unacc
vhigh,high,4.0,4.0,big,high,unacc
vhigh,high,4.0,more,small,low,unacc
vhigh,high,4.0,more,small,med,unacc
vhigh,high,4.0,more,small,high,unacc
vhigh,high,4.0,more,med,low,unacc
vhigh,high,4.0,more,med,med,unacc
vhigh,high,4.0,more,med,high,unacc
vhigh,high,4.0,more,big,low,unacc
vhigh,high,4.0,more,big,med,unacc
vhigh,high,4.0,more,big,high,unacc
vhigh,high,5more,2.0,small,low,unacc
vhigh,high,5more,2.0,small,med,unacc
vhigh,high,5more,2.0,small,high,unacc
vhigh,high,5more,2.0,med,low,unacc
vhigh,high,5more,2.0,med,med,unacc
vhigh,high,5more,2.0,med,high,unacc
vhigh,high,5more,2.0,big,low,unacc
vhigh,high,5more,2.0,big,med,unacc
vhigh,high,5more,2.0,big,high,unacc
vhigh,high,5more,4.0,small,low,unacc
vhigh,high,5more,4.0,small,med,unacc
vhigh,high,5more,4.0,small,high,unacc
vhigh,high,5more,4.0,med,low,unacc
vhigh,high,5more,4.0,med,med,unacc
vhigh,high,5more,4.0,med,high,unacc
vhigh,high,5more,4.0,big,low,unacc
vhigh,high,5more,4.0,big,med,unacc
vhigh,high,5more,4.0,big,high,unacc
vhigh,high,5more,more,small,low,unacc
vhigh,high,5more,more,small,med,unacc
vhigh,high,5more,more,small,high,unacc
vhigh,high,5more,more,med,low,unacc
vhigh,high,5more,more,med,med,unacc
vhigh,high,5more,more,med,high,unacc
vhigh,high,5more,more,big,low,unacc
vhigh,high,5more,more,big,med,unacc
vhigh,high,5more,more,big,high,unacc
vhigh,med,2.0,2.0,small,low,unacc
vhigh,med,2.0,2.0,small,med,unacc
vhigh,med,2.0,2.0,small,high,unacc
vhigh,med,2.0,2.0,med,low,unacc
vhigh,med,2.0,2.0,med,med,unacc
vhigh,med,2.0,2.0,med,high,unacc
vhigh,med,2.0,2.0,big,low,unacc
vhigh,med,2.0,2.0,big,med,unacc
vhigh,med,2.0,2.0,big,high,unacc
