@relation Census-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute age {'\'(-inf-21.5]\'','\'(21.5-23.5]\'','\'(23.5-27.5]\'','\'(27.5-29.5]\'','\'(29.5-35.5]\'','\'(35.5-43.5]\'','\'(43.5-54.5]\'','\'(54.5-61.5]\'','\'(61.5-inf)\''}
@attribute ' workclass' {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute ' fnlwgt' {'\'All\''}
@attribute ' education' {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute ' education-num' {'\'(-inf-8.5]\'','\'(8.5-9.5]\'','\'(9.5-10.5]\'','\'(10.5-12.5]\'','\'(12.5-13.5]\'','\'(13.5-14.5]\'','\'(14.5-inf)\''}
@attribute ' marital-status' {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute ' occupation' {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute ' relationship' {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute ' race' {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute ' sex' {' Male',' Female'}
@attribute ' capital-gain' {'\'(-inf-57]\'','\'(57-3048]\'','\'(3048-3120]\'','\'(3120-4243.5]\'','\'(4243.5-4401]\'','\'(4401-4668.5]\'','\'(4668.5-4826]\'','\'(4826-4932.5]\'','\'(4932.5-4973.5]\'','\'(4973.5-5119]\'','\'(5119-5316.5]\'','\'(5316.5-5505.5]\'','\'(5505.5-6618.5]\'','\'(6618.5-7073.5]\'','\'(7073.5-inf)\''}
@attribute ' capital-loss' {'\'(-inf-1551.5]\'','\'(1551.5-1568.5]\'','\'(1568.5-1820.5]\'','\'(1820.5-1862]\'','\'(1862-1881.5]\'','\'(1881.5-1923]\'','\'(1923-1975.5]\'','\'(1975.5-1978.5]\'','\'(1978.5-2168.5]\'','\'(2168.5-2176.5]\'','\'(2176.5-2218.5]\'','\'(2218.5-2384.5]\'','\'(2384.5-2450.5]\'','\'(2450.5-3726.5]\'','\'(3726.5-inf)\''}
@attribute ' hours-per-week' {'\'(-inf-34.5]\'','\'(34.5-39.5]\'','\'(39.5-41.5]\'','\'(41.5-49.5]\'','\'(49.5-65.5]\'','\'(65.5-inf)\''}
@attribute ' native-country' {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' China',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}
@attribute ' income' {' <=50K',' >50K'}

@data
'\'(23.5-27.5]\'',' State-gov','\'All\'',' Bachelors','\'(-inf-8.5]\'',' Never-married',' Adm-clerical',' Not-in-family',' White',' Male','\'(-inf-57]\'','\'(-inf-1551.5]\'','\'(39.5-41.5]\'',' United-States',' <=50K'
'\'(35.5-43.5]\'',' State-gov','\'All\'',' HS-grad','\'(8.5-9.5]\'',' Married-civ-spouse',' Exec-managerial',' Husband',' Black',' Male','\'(-inf-57]\'','\'(-inf-1551.5]\'','\'(49.5-65.5]\'',' United-States',' <=50K'
'\'(27.5-29.5]\'',' Self-emp-not-inc','\'All\'',' 11th','\'(10.5-12.5]\'',' Married-civ-spouse',' Handlers-cleaners',' Husband',' Black',' Male','\'(-inf-57]\'','\'(-inf-1551.5]\'','\'(39.5-41.5]\'',' United-States',' >50K'
'\'(43.5-54.5]\'',' State-gov','\'All\'',' Masters','\'(9.5-10.5]\'',' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male','\'(7073.5-inf)\'','\'(-inf-1551.5]\'','\'(39.5-41.5]\'',' United-States',' >50K'
'\'(-inf-21.5]\'',' Private','\'All\'',' Masters','\'(9.5-10.5]\'',' Never-married',' Prof-specialty',' Not-in-family',' Black',' Female','\'(-inf-57]\'','\'(-inf-1551.5]\'','\'(-inf-34.5]\'',' United-States',' <=50K'
'\'(29.5-35.5]\'',' State-gov','\'All\'',' 9th','\'(-inf-8.5]\'',' Never-married',' Other-service',' Wife',' Black',' Male','\'(-inf-57]\'','\'(-inf-1551.5]\'','\'(-inf-34.5]\'',' United-States',' <=50K'
'\'(27.5-29.5]\'',' Private','\'All\'',' HS-grad','\'(8.5-9.5]\'',' Never-married',' Prof-specialty',' Own-child',' White',' Male','\'(-inf-57]\'','\'(-inf-1551.5]\'','\'(39.5-41.5]\'',' United-States',' <=50K'
'\'(61.5-inf)\'',' Federal-gov','\'All\'',' Some-college','\'(14.5-inf)\'',' Married-civ-spouse',' Sales',' Husband',' Black',' Male','\'(3048-3120]\'','\'(-inf-1551.5]\'','\'(-inf-34.5]\'',' United-States',' >50K'
'\'(23.5-27.5]\'',' State-gov','\'All\'',' Masters','\'(9.5-10.5]\'',' Never-married',' Other-service',' Own-child',' Black',' Female','\'(-inf-57]\'','\'(-inf-1551.5]\'','\'(39.5-41.5]\'',' United-States',' <=50K'
'\'(54.5-61.5]\'',' State-gov','\'All\'',' Assoc-acdm','\'(-inf-8.5]\'',' Married-civ-spouse',' Craft-repair',' Husband',' Black',' Male','\'(-inf-57]\'','\'(-inf-1551.5]\'','\'(-inf-34.5]\'',' United-States',' <=50K'
'\'(61.5-inf)\'',' State-gov','\'All\'',' HS-grad','\'(8.5-9.5]\'',' Married-civ-spouse',' Adm-clerical',' Husband',' Black',' Male','\'(5505.5-6618.5]\'','\'(-inf-1551.5]\'','\'(39.5-41.5]\'',' United-States',' >50K'
'\'(35.5-43.5]\'',' Local-gov','\'All\'',' Assoc-voc','\'(12.5-13.5]\'',' Married-civ-spouse',' Transport-moving',' Husband',' Black',' Male','\'(-inf-57]\'','\'(-inf-1551.5]\'','\'(39.5-41.5]\'',' United-States',' <=50K'
