@relation stock

@attribute week_high_percent_change {highNegative,noChange,lowPositive,lowNegative,highPositive}
@attribute week_low_percentage_change {highNegative,lowNegative,lowPositive,noChange,highPositive}
@attribute week_close_percentage_change {lowNegative,highNegative,lowPositive,highPositive,noChange}
@attribute bull_8_week_change {highNegative,lowNegative,lowPositive,highPositive,noChange}
@attribute classifier {bear,bull}

@data
highNegative,highNegative,lowNegative,highNegative,bear
highNegative,highNegative,highNegative,highNegative,bear
noChange,lowNegative,highNegative,highNegative,bear
lowPositive,lowPositive,lowNegative,highNegative,bull
lowNegative,noChange,lowNegative,highNegative,bear
lowNegative,highNegative,lowPositive,highNegative,bear
noChange,lowNegative,lowNegative,lowNegative,bear
lowPositive,lowPositive,lowNegative,lowNegative,bull
lowPositive,highPositive,lowPositive,lowPositive,bull
lowNegative,highNegative,lowPositive,lowNegative,bull
noChange,lowPositive,lowNegative,lowPositive,bull
lowPositive,highPositive,lowPositive,lowPositive,bull
highPositive,lowPositive,highPositive,lowPositive,bull
lowPositive,lowPositive,lowPositive,lowPositive,bull
lowPositive,highPositive,lowNegative,lowPositive,bull
lowPositive,noChange,highPositive,lowPositive,bull
highNegative,highNegative,highNegative,lowPositive,bear
lowPositive,lowPositive,lowNegative,highPositive,bull
lowPositive,lowPositive,highPositive,lowPositive,bull
lowNegative,highPositive,lowNegative,lowPositive,bear
highNegative,lowPositive,lowPositive,lowPositive,bull
noChange,highNegative,highNegative,highPositive,bear
lowNegative,noChange,lowNegative,highNegative,bear
lowNegative,lowNegative,lowNegative,lowPositive,bear
lowNegative,noChange,lowNegative,lowPositive,bear
noChange,highNegative,lowNegative,lowNegative,bear
lowPositive,highPositive,lowPositive,lowPositive,bull
lowPositive,noChange,highPositive,lowPositive,bull
lowNegative,lowNegative,lowNegative,lowPositive,bear
lowNegative,lowNegative,lowNegative,lowNegative,bear
lowPositive,lowPositive,lowPositive,lowPositive,bull
lowNegative,noChange,lowNegative,lowNegative,bear
lowNegative,lowNegative,lowNegative,highNegative,bear
lowNegative,lowNegative,lowNegative,lowNegative,bull
noChange,lowPositive,lowNegative,highNegative,bull
lowPositive,lowPositive,lowPositive,highNegative,bull
lowNegative,noChange,lowPositive,lowNegative,bull
lowNegative,lowNegative,lowNegative,lowNegative,bull
lowPositive,lowPositive,lowNegative,highNegative,bull
noChange,lowNegative,lowPositive,highNegative,bull
lowPositive,lowPositive,lowPositive,highNegative,bull
lowNegative,lowPositive,lowPositive,highNegative,bull
lowNegative,lowNegative,lowNegative,lowNegative,bull
lowPositive,lowPositive,highNegative,lowNegative,bull
lowNegative,noChange,highPositive,lowNegative,bear
lowNegative,highNegative,highNegative,highNegative,bull
noChange,lowPositive,lowNegative,lowNegative,bull
lowPositive,highPositive,lowPositive,lowNegative,bull
lowPositive,lowPositive,highPositive,lowNegative,bull
lowPositive,highPositive,lowPositive,lowPositive,bull
lowNegative,lowNegative,highPositive,lowNegative,bull
lowPositive,lowPositive,lowNegative,lowPositive,bull
lowNegative,lowNegative,lowPositive,highNegative,bull
lowNegative,lowNegative,lowNegative,lowNegative,bull
noChange,lowNegative,lowPositive,highNegative,bull
noChange,lowNegative,highNegative,lowNegative,bull
highPositive,lowPositive,highPositive,lowPositive,bull
lowNegative,lowNegative,lowNegative,lowNegative,bull
lowPositive,lowNegative,highNegative,lowPositive,bull
lowPositive,lowPositive,lowPositive,lowPositive,bull
lowPositive,lowPositive,lowPositive,highPositive,bull
lowPositive,highPositive,lowPositive,lowPositive,bull
lowPositive,highPositive,lowPositive,highPositive,bull
highPositive,highPositive,highPositive,highPositive,bull
highPositive,highPositive,highPositive,lowPositive,bull
lowNegative,noChange,highPositive,lowNegative,bull
lowNegative,highNegative,highNegative,lowNegative,bull
lowNegative,lowNegative,lowPositive,lowPositive,bull
lowNegative,highNegative,highNegative,lowPositive,bull
lowPositive,lowPositive,lowNegative,highPositive,bull
lowNegative,lowNegative,lowPositive,highPositive,bull
lowPositive,lowNegative,lowNegative,lowPositive,bull
lowPositive,lowPositive,lowPositive,lowPositive,bull
lowPositive,highPositive,lowPositive,highPositive,bull
highPositive,lowPositive,highPositive,highPositive,bull
highNegative,lowNegative,lowPositive,lowPositive,bull
lowNegative,highNegative,highNegative,highNegative,bear
lowPositive,lowPositive,lowNegative,lowNegative,bull
lowPositive,lowPositive,lowPositive,lowNegative,bear
lowNegative,lowNegative,lowPositive,lowPositive,bull
lowPositive,lowPositive,lowNegative,lowPositive,bull
lowPositive,lowPositive,lowPositive,highPositive,bull
lowPositive,lowPositive,lowPositive,lowPositive,bull
lowPositive,lowPositive,lowPositive,lowPositive,bull
lowPositive,lowPositive,lowPositive,highPositive,bull
lowPositive,highPositive,lowPositive,highPositive,bull
lowPositive,lowPositive,lowPositive,lowPositive,bull
noChange,lowPositive,lowNegative,lowNegative,bull
lowPositive,noChange,lowPositive,lowNegative,bull
lowPositive,lowPositive,lowNegative,highNegative,bear
lowPositive,highPositive,lowPositive,highNegative,bull
lowPositive,lowPositive,lowPositive,lowNegative,bull
lowNegative,lowNegative,lowNegative,highNegative,bear
lowPositive,lowNegative,lowNegative,highNegative,bear
lowPositive,lowNegative,highPositive,lowPositive,bull
lowPositive,lowPositive,lowNegative,lowNegative,bull
lowNegative,lowNegative,lowNegative,lowNegative,bull
lowPositive,lowPositive,lowNegative,lowPositive,bull
lowPositive,lowPositive,highPositive,lowNegative,bull
lowPositive,lowNegative,lowPositive,lowNegative,bull
lowPositive,highPositive,lowPositive,highNegative,bull
highPositive,noChange,highPositive,lowNegative,bull
highNegative,highNegative,highNegative,highNegative,bear
noChange,noChange,noChange,lowNegative,bear
noChange,noChange,lowNegative,lowNegative,bull
lowPositive,lowNegative,lowPositive,lowPositive,bull
noChange,lowPositive,lowNegative,lowPositive,bull
lowPositive,highPositive,lowPositive,lowNegative,bull
lowPositive,noChange,lowPositive,lowPositive,bull
lowNegative,lowNegative,highPositive,lowNegative,bull
lowNegative,noChange,lowNegative,lowNegative,bull
lowPositive,lowPositive,lowNegative,lowPositive,bull
lowPositive,lowPositive,highPositive,lowPositive,bull
lowPositive,lowPositive,lowNegative,lowNegative,bull
lowPositive,lowNegative,lowPositive,lowNegative,bull
noChange,lowPositive,lowPositive,lowNegative,bull
lowPositive,highPositive,lowPositive,lowPositive,bull
highPositive,highPositive,highPositive,highPositive,bull
highPositive,noChange,highPositive,highPositive,bull
lowNegative,highNegative,highNegative,lowPositive,bull
lowNegative,lowNegative,lowPositive,lowNegative,bull
lowPositive,lowPositive,highNegative,lowPositive,bull
highPositive,highPositive,highPositive,lowNegative,bull
highPositive,lowPositive,highPositive,lowNegative,bull
lowNegative,lowPositive,lowPositive,highNegative,bull
lowNegative,lowNegative,lowNegative,lowNegative,bull
lowNegative,highNegative,highNegative,lowNegative,bear
lowNegative,lowPositive,lowNegative,lowNegative,bull
lowPositive,lowPositive,lowPositive,lowPositive,bull
noChange,lowPositive,lowNegative,lowPositive,bull
lowPositive,highPositive,lowPositive,lowPositive,bull
highPositive,highPositive,highPositive,lowNegative,bull
highPositive,lowPositive,lowPositive,highPositive,bull
lowNegative,highPositive,highPositive,lowPositive,bull
noChange,highNegative,lowNegative,lowNegative,bear
lowPositive,lowPositive,lowPositive,highPositive,bull
lowNegative,lowNegative,lowPositive,lowPositive,bear
lowPositive,highNegative,highNegative,highPositive,bear
lowNegative,lowPositive,lowNegative,lowPositive,bull
highPositive,lowPositive,lowNegative,highPositive,bull
highPositive,highPositive,highPositive,lowNegative,bull
highPositive,lowPositive,highPositive,lowNegative,bull
lowPositive,highPositive,lowPositive,lowNegative,bear
lowNegative,lowNegative,highPositive,lowNegative,bear
lowPositive,lowPositive,highNegative,highNegative,bear
lowPositive,lowNegative,highPositive,highNegative,bear
lowPositive,lowPositive,lowNegative,lowNegative,bull
lowPositive,noChange,lowPositive,lowNegative,bull
lowPositive,lowNegative,lowPositive,highNegative,bull
lowPositive,highPositive,lowPositive,lowPositive,bull
lowPositive,noChange,highPositive,highNegative,bear
noChange,highNegative,lowPositive,lowNegative,bear
lowPositive,lowPositive,lowNegative,lowNegative,bull
lowPositive,lowPositive,lowPositive,lowNegative,bull
lowPositive,lowPositive,lowPositive,lowNegative,bull
lowPositive,lowPositive,lowPositive,lowPositive,bull
highPositive,lowPositive,highPositive,highPositive,bull
lowPositive,highPositive,lowPositive,lowPositive,bull
lowPositive,noChange,lowNegative,highPositive,bull
lowPositive,lowNegative,highPositive,lowPositive,bull
lowNegative,lowPositive,lowNegative,lowPositive,bull
lowPositive,lowPositive,lowPositive,highPositive,bull
highPositive,lowPositive,lowPositive,highPositive,bull
lowPositive,highPositive,lowNegative,highPositive,bull
lowPositive,lowPositive,lowPositive,lowPositive,bull
highNegative,lowNegative,highPositive,lowNegative,bear
noChange,highNegative,highNegative,highNegative,bear
lowNegative,lowNegative,lowNegative,lowPositive,bear
lowNegative,lowNegative,lowPositive,lowPositive,bear
lowPositive,lowNegative,highNegative,lowNegative,bear
lowNegative,lowNegative,highPositive,highNegative,bear
lowPositive,lowPositive,lowNegative,lowNegative,bear
lowNegative,noChange,lowPositive,lowNegative,bull
lowNegative,lowPositive,highNegative,lowPositive,bear
highPositive,highPositive,highPositive,highPositive,bull
highPositive,noChange,highPositive,highPositive,bull
lowNegative,lowNegative,lowNegative,lowPositive,bull
noChange,lowNegative,lowNegative,lowPositive,bull
lowPositive,lowPositive,lowPositive,highPositive,bull
lowPositive,highPositive,lowPositive,lowPositive,bull
lowPositive,highPositive,highPositive,lowPositive,bull
lowPositive,noChange,highPositive,lowPositive,bear
lowPositive,lowPositive,highNegative,lowPositive,bear
lowPositive,lowNegative,highPositive,highNegative,bear
noChange,highPositive,highNegative,lowPositive,bear
lowPositive,lowPositive,highPositive,lowPositive,bear
noChange,lowPositive,highNegative,lowNegative,bear
highPositive,highPositive,highPositive,lowPositive,bear
lowPositive,lowPositive,lowNegative,lowPositive,bear
noChange,highNegative,lowPositive,lowNegative,bear
lowNegative,lowPositive,lowNegative,highNegative,bear
highNegative,highNegative,lowNegative,highNegative,bear
highNegative,lowNegative,highNegative,highNegative,bear
noChange,highNegative,highNegative,highNegative,bear
highPositive,lowPositive,lowPositive,lowNegative,bull
noChange,lowPositive,lowPositive,highNegative,bear
highNegative,noChange,lowPositive,highNegative,bear
noChange,highNegative,highNegative,highNegative,bear
lowPositive,lowPositive,lowNegative,highNegative,bull
lowPositive,lowPositive,lowPositive,lowNegative,bull
lowPositive,highPositive,lowPositive,lowNegative,bull
highPositive,noChange,highPositive,lowNegative,bull
noChange,lowNegative,lowNegative,lowNegative,bull
lowPositive,lowPositive,lowPositive,lowNegative,bull
lowPositive,lowPositive,lowPositive,lowPositive,bull
lowPositive,highPositive,lowNegative,lowPositive,bull
lowPositive,lowPositive,highPositive,highPositive,bull
lowPositive,lowPositive,lowNegative,lowPositive,bull
highPositive,lowPositive,lowPositive,highPositive,bull
lowPositive,lowPositive,lowPositive,highPositive,bull
lowPositive,lowPositive,lowPositive,lowPositive,bull
lowPositive,highPositive,highPositive,lowPositive,bull
highPositive,noChange,lowPositive,lowPositive,bull
lowNegative,lowNegative,highPositive,lowNegative,bull
noChange,highPositive,highNegative,lowPositive,bull
highPositive,highPositive,lowPositive,lowNegative,bull
lowNegative,noChange,highPositive,lowNegative,bear
lowNegative,highNegative,highNegative,lowPositive,bear
noChange,lowPositive,lowPositive,highPositive,bull
lowNegative,noChange,lowNegative,highPositive,bull
