visiting_team,home_team,month,home_wins
Houston Rockets,Los Angeles Lakers,Oct,no
Orlando Magic,New Orleans Pelicans,Oct,yes
Dallas Mavericks,San Antonio Spurs,Oct,yes
Brooklyn Nets,Boston Celtics,Oct,yes
Milwaukee Bucks,Charlotte Hornets,Oct,yes
Detroit Pistons,Denver Nuggets,Oct,yes
Philadelphia 76ers,Indiana Pacers,Oct,yes
Minnesota Timberwolves,Memphis Grizzlies,Oct,yes
Washington Wizards,Miami Heat,Oct,yes
Chicago Bulls,New York Knicks,Oct,no
Los Angeles Lakers,Phoenix Suns,Oct,yes
Oklahoma City Thunder,Portland Trail Blazers,Oct,yes
Golden State Warriors,Sacramento Kings,Oct,no
Atlanta Hawks,Toronto Raptors,Oct,yes
Houston Rockets,Utah Jazz,Oct,no
New York Knicks,Cleveland Cavaliers,Oct,no
Utah Jazz,Dallas Mavericks,Oct,yes
Oklahoma City Thunder,Los Angeles Clippers,Oct,yes
Detroit Pistons,Minnesota Timberwolves,Oct,yes
Washington Wizards,Orlando Magic,Oct,no
Cleveland Cavaliers,Chicago Bulls,Oct,no
Memphis Grizzlies,Indiana Pacers,Oct,no
Los Angeles Clippers,Los Angeles Lakers,Oct,no
Philadelphia 76ers,Milwaukee Bucks,Oct,yes
San Antonio Spurs,Phoenix Suns,Oct,yes
Portland Trail Blazers,Sacramento Kings,Oct,yes
Indiana Pacers,Atlanta Hawks,Nov,yes
Memphis Grizzlies,Charlotte Hornets,Nov,no
Brooklyn Nets,Detroit Pistons,Nov,no
Los Angeles Lakers,Golden State Warriors,Nov,yes
Boston Celtics,Houston Rockets,Nov,yes
Chicago Bulls,Minnesota Timberwolves,Nov,no
Dallas Mavericks,New Orleans Pelicans,Nov,no
Denver Nuggets,Oklahoma City Thunder,Nov,yes
Toronto Raptors,Orlando Magic,Nov,no
Miami Heat,Philadelphia 76ers,Nov,no
Phoenix Suns,Utah Jazz,Nov,yes
Milwaukee Bucks,Washington Wizards,Nov,yes
Sacramento Kings,Los Angeles Clippers,Nov,no
Toronto Raptors,Miami Heat,Nov,yes
Charlotte Hornets,New York Knicks,Nov,yes
Golden State Warriors,Portland Trail Blazers,Nov,no
Oklahoma City Thunder,Brooklyn Nets,Nov,yes
Boston Celtics,Dallas Mavericks,Nov,yes
Sacramento Kings,Denver Nuggets,Nov,no
Utah Jazz,Los Angeles Clippers,Nov,yes
New Orleans Pelicans,Memphis Grizzlies,Nov,yes
Houston Rockets,Philadelphia 76ers,Nov,no
Orlando Magic,Chicago Bulls,Nov,yes
Milwaukee Bucks,Indiana Pacers,Nov,no
Phoenix Suns,Los Angeles Lakers,Nov,no
Houston Rockets,Miami Heat,Nov,no
Charlotte Hornets,New Orleans Pelicans,Nov,yes
Washington Wizards,New York Knicks,Nov,no
